STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
35796099999,BALHASH,1948-11-03,2020-04-07,null,KZ,46.8,75.0833333,350
28978099999,BALKASINO,1959-01-04,2020-04-07,null,KZ,52.5333333,68.75,398
56441099999,BAME NORTHWEST,1962-09-07,1964-12-31,null,CH,28.883,98.583,4413
74937999999,BANGMI,1953-10-18,1954-08-15,null,KS,37.867,126.817,6
69209499999,BANGSAN (TMQ-53P),1982-03-04,2015-03-03,null,KS,38.1166666,128.0333333,220.98
42045099999,BANIHAL,2015-12-08,2020-04-07,null,IN,33.5,75.1666666,1630
74924299999,BANKADAHA WEST,1944-02-29,1945-09-21,null,IN,22.967,87.3,79
42706099999,BANKURA,2005-04-16,2020-04-07,null,IN,23.3833333,87.0833333,100
74924699999,BANSBERA NORTHEAST,1943-11-30,1945-10-18,null,IN,26.8,92.617,98
59493099999,BAOAN INTL,1957-08-19,2020-04-07,null,CH,22.639258,113.810664,3.96
54602099999,BAODING,1956-08-20,2020-04-07,null,CH,38.7333333,115.4833333,17
57016099999,BAOJI,1956-08-20,2004-12-30,null,CH,34.35,107.133,610
50888099999,BAOQING,1957-12-02,2020-04-07,null,CH,46.3166666,132.1833333,83
56748099999,BAOSHAN,1944-03-26,2020-04-07,null,CH,25.1166666,99.1833333,1649
53446099999,BAOTOU,1956-08-20,1961-10-31,null,CH,40.567,109.983,940
53446399999,BAOTOU,1956-08-20,1956-12-31,null,CH,40.559367,109.998447,1012.24
41685099999,BAR KHAN,1973-11-17,2020-04-07,null,PK,29.8833333,69.7166666,1097
29612099999,BARABINSK,1933-03-01,2020-04-07,null,RS,55.3333333,78.3083333,120
42189099999,BAREILLY,1957-01-06,2020-04-07,null,IN,28.422061,79.450842,176.78
30636099999,BARGUZIN,1934-01-18,2020-04-07,null,RS,53.6166666,109.6333333,489
41932099999,BARISAL,1978-02-24,1978-11-03,null,BG,22.717,90.367,4
41950099999,BARISAL,1961-01-15,2020-04-07,null,BG,22.75,90.3666666,4
56172099999,BARKAM,1956-08-20,2020-04-07,null,CH,31.9,102.2333333,2666
52101099999,BARKOL,1962-03-07,1997-05-13,null,CH,43.583,92.85,1584
42435099999,BARMER,1957-07-01,2020-04-07,null,IN,25.75,71.3833333,194
29838099999,BARNAUL,1933-02-05,2020-04-07,null,RS,53.363775,83.538533,255.11
42747099999,BARODA,1973-01-01,1988-01-27,null,IN,22.3,73.25,34
42748099999,BARODA AERODROME,2015-12-07,2020-04-07,null,IN,22.3333333,73.2666666,37
36498099999,BARSHATAS,1959-01-02,2020-04-07,null,KZ,48.1666666,78.4166666,643
35357099999,BARSHINO,2008-12-01,2020-04-07,null,KZ,49.6833333,69.5166666,349
44305099999,BARUUN-URT,1960-01-05,2020-04-07,null,MG,46.6833333,113.2833333,981
44241099999,BARUUNHARAA,1956-09-07,2020-04-07,null,MG,48.9166666,106.0666666,807
44213099999,BARUUNTURUUN,1983-10-11,2020-04-07,null,MG,49.65,94.4,1232
29548099999,BARZAS,1955-07-10,1990-12-07,null,RS,55.717,86.3,208
98135099999,BASCO,1949-01-07,2002-01-15,null,RP,20.451322,121.979883,88.69
98134099999,BASCO RADAR,2002-02-01,2020-04-07,null,RP,20.4333333,121.9666666,167
44286099999,BAT OLDZIY BUND,1973-07-23,2020-04-07,null,MG,46.9666667,103.8,1358
44240099999,BATA SUMBER,1969-01-01,1977-07-14,null,MG,48.4166667,106.7166667,630
56247099999,BATANG,1956-08-20,2020-04-07,null,CH,30,99.1,2589
41531099999,BATTAL,1975-12-29,1976-08-21,null,PK,34.5833333,73.15,1676
29247099999,BATURINO,1969-01-01,1993-04-15,null,RS,57.75,85.2,90
30457099999,BAUNT,1953-02-16,1959-09-04,null,RS,55.2666666,113.1333333,1078
54518099999,BAXIAN,1957-06-01,1997-07-20,null,CH,39.05,116.4,8
44348099999,BAYAN DOBO SUMA,1973-11-29,2020-04-07,null,MG,44.5666667,107.1833333,1093
52495099999,BAYAN MOD,1962-02-06,2020-04-07,null,CH,40.75,104.5,1329
44302099999,BAYAN-OVOO,1969-01-01,2020-04-07,null,MG,47.7833333,112.1166666,926
44275099999,BAYANBULAG,1983-10-11,2020-04-07,null,MG,46.8333333,98.0833333,2255
51542099999,BAYANBULAK,1962-03-07,2020-04-07,null,CH,43.0333333,84.15,2459
44352099999,BAYANDELGER,1956-11-18,2020-04-07,null,MG,45.7333333,112.3666666,1101
44287099999,BAYANHONGOR,1963-03-01,2020-04-07,null,MG,46.1333333,100.6833333,1859
29843099999,BAYDAYEVKA,1935-05-01,1955-06-29,null,RS,53.767,87.233,213
38202099999,BAYKADAM,1959-01-26,1960-04-03,null,KZ,43.75,69.917,null
30436099999,BAYKALSKOYE,1953-03-16,1954-11-12,null,RS,55.367,109.183,478
51288099999,BAYTIK SHAN,1961-11-01,2020-04-07,null,CH,45.3666666,90.5333333,1651
57313099999,BAZHONG,1957-07-01,1998-08-21,null,CH,31.9,106.7,360
42807099999,BEHALA,1944-03-31,2020-04-07,null,IN,22.50483,88.29348,2.43
42807099999,BEHALA,1944-03-31,2020-04-07,null,IN,22.50483,88.29348,2.43
57014099999,BEIDAO,2005-01-01,2020-03-25,null,CH,34.57,105.87,1086
46688899999,BEIGAN,1999-01-15,2000-11-11,null,TW,26.224153,120.00275,12.49
59644099999,BEIHAI,1945-08-12,2020-04-07,null,CH,21.4833333,109.1,16
59644199999,BEIHAI AIRPORT,2010-12-05,2013-12-24,null,CH,21.539444,109.293889,16
54511099999,BEIJING - CAPITAL INTERNATIONAL AIRPORT,1945-10-31,2020-04-07,null,CH,40.080111,116.584556,35.35
52441099999,BEISHAN (MTNS),1973-01-01,1988-12-30,null,CH,40.717,98.617,1554
29962099999,BEJA,1953-03-08,2001-08-31,null,RS,53.05,90.9166666,469
30757099999,BEKLEMISEVO,1969-01-01,2001-05-28,null,RS,52.117,112.667,968
35699099999,BEKTAUATA,1953-12-02,2020-04-07,null,KZ,47.45,74.8166666,620
31906099999,BELENDE,1955-04-28,1961-08-02,null,RS,45.3,136.983,7
36453099999,BELESI,1989-01-02,1989-08-02,null,RS,49.7,87.433,1524
31902099999,BELKIN-IN-PRIMOR,1959-01-30,1959-01-31,null,RS,45.833,137.7,103
31513099999,BELOGORSK,1953-02-16,2018-07-24,null,RS,50.9166666,128.4666666,178
36046099999,BELOKURIHA,1937-01-02,1958-01-11,null,RS,51.967,84.95,260
29745099999,BELOVO,1955-07-07,1990-12-07,null,RS,54.45,86.3666666,226
58221099999,BENGBU,1956-08-20,2020-04-07,null,CH,32.85,117.3,28
54346099999,BENXI,1957-12-02,2020-04-07,null,CH,41.3166666,123.7833333,185
31994099999,BEREZNJAKI,1953-02-20,1996-04-20,null,RS,43.5833333,134.1666666,509
29871099999,BEREZOVSKOYE,1953-02-16,1959-01-26,null,RS,53.933,92.8,311
35376099999,BERLIK,1953-03-08,2008-03-27,null,KZ,49.8833333,69.5166666,349
35092099999,BESTOBE,2014-07-01,2020-04-07,null,KZ,52.5,73.1,168
35884099999,BETPAK-DALA STEPPE,1958-01-29,1997-06-11,null,KZ,46,70,325
42860099999,BETUL,1978-03-18,1978-03-18,null,IN,21.8666666,77.9333333,653
42498099999,BHAGALPUR,1961-03-11,2020-04-07,null,IN,25.2333333,86.95,49
44438099999,BHAIRAHAWA,1977-05-27,2020-04-07,null,NP,27.505703,83.41625,109.11
48019099999,BHAMO,1945-02-09,2020-04-07,null,BM,24.2666666,97.2,113
42838099999,BHAUNAGAR,2015-12-08,2020-04-06,null,IN,21.75,72.2,5
42080199999,BHAVNAGAR,2016-07-09,2020-03-24,null,IN,21.752206,72.185181,13.41
41937099999,BHOLA,1978-02-19,1979-02-01,null,BG,22.683,90.65,5
41951099999,BHOLA,2012-02-01,2020-04-07,null,BG,22.6833333,90.65,5
42667099999,BHOPAL,1957-07-01,2020-04-07,null,IN,23.287467,77.337375,523.95
42971099999,BHUBANESHWAR,1957-07-01,2020-04-07,null,IN,20.244364,85.817781,42.06
42634099999,BHUJ,1957-07-01,2020-04-07,null,IN,23.287828,69.670147,81.68
42081099999,BHUNTAR,2015-12-08,2020-04-07,null,IN,31.8333333,77.1666666,1084
31792099999,BICEVAJA,1953-02-19,1980-01-01,null,RS,47.7666666,135.6333333,105
31492099999,BICHI-IN-KHABAROV,1959-01-31,1988-03-31,null,RS,51.967,138.183,430
30934099999,BICURA,1953-02-16,2001-05-27,null,RS,50.6,107.5833333,638
56016099999,BIE-LI-XI-DU,1973-01-01,1990-01-19,null,CH,34.1,95.033,4785
57707099999,BIJIE,1956-08-20,2020-04-07,null,CH,27.3,105.2333333,1511
29939099999,BIJSK ZONAL'NAYA,1933-03-01,2020-04-07,null,RS,52.6666666,84.9166666,225
42165099999,BIKANER,1957-07-01,2020-03-04,null,IN,28,73.3,224
31832099999,BIKIN,1948-01-01,2020-04-07,null,RS,46.8,134.2666666,68
42782099999,BILASPUR,2015-12-08,2020-04-07,null,IN,21.9884,82.110983,274.01
42080099999,BILASPUR,1976-05-22,1986-04-17,null,IN,31.25,76.6666666,587
